Country,Adults (Thousands),Mean Wealth per Adult,Median Wealth per Adult,"Under 10,000","10,000-100,000","100,000-1 Million",Over 1 Million,wealthGini,incomeGini,Date,Year,GDP in TOT as MLN_USD,GDP in TOT as USD_CAP,INCOMEINEQ in P50P10 as RT,INCOMEINEQ in P90P10 as RT,INCOMEINEQ in P90P50 as RT,INCOMEINEQ in PALMA as RT,INCOMEINEQ in S80S20 as RT,PUBLMPEXP in EMPINCENTIVE as PC_GDP,PUBLMPEXP in INCENTIVE as PC_GDP,PUBLMPEXP in JOBCREATION as PC_GDP,PUBLMPEXP in OOWORKINCOME as PC_GDP,PUBLMPEXP in PRERET as PC_GDP,PUBLMPEXP in PUBEMPSERV as PC_GDP,PUBLMPEXP in SUPPEMP as PC_GDP,PUBLMPEXP in TOT as PC_GDP,PUBLMPEXP in TRAINING as PC_GDP,PUBUNEMPEXP in TOT as PC_GDP,SOCBENHH in INCASH as PC_GDP,SOCBENHH in INKIND as PC_GDP,SOCEXP in PRIV as PC_GDP,SOCEXP in PUB as PC_GDP,SOCEXP in PUB as USD_CAP,SOCEXP in PUBNET as PC_GDP,SOCEXP in TOTNET as PC_GDP,TAXCORP in TOT as PC_GDP,TAXCORP in TOT as PC_TOT_TAX,TAXGOODSERV in TOT as PC_GDP,TAXGOODSERV in TOT as PC_TOT_TAX,TAXINCOME in TOT as PC_GDP,TAXINCOME in TOT as PC_TOT_TAX,TAXPAYROLL in TOT as PC_GDP,TAXPAYROLL in TOT as PC_TOT_TAX,TAXPROPERTY in TOT as PC_GDP,TAXPROPERTY in TOT as PC_TOT_TAX,TAXREV in TOT as MLN_USD,TAXREV in TOT as PC_GDP,TAXSS in TOT as PC_GDP,TAXSS in TOT as PC_TOT_TAX,TAXWEDGE in TOT as PC_LC,Region,wealthTax
Austria,7075,231368,70074,25.2,30.4,41.1,3.2,76.4,26.8,2018-09-29,2018,502771.4205,56889.351557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.8778961315017,12.220749505447,NA,26.601,NA,NA,NA,2.7,6.4,11.585,27.465,9.365,22.2,2.684,6.363,0.545,1.292,192.208,42.182,14.691,34.828,47.618571,EU,0
Belgium,8869,313045,163429,17,21.2,57,4.8,65.9,25.6,2018-09-29,2018,597058.3227,52249.787585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.8987290536712,15.076743362154,NA,28.914,NA,NA,NA,4.389,9.786,10.928,24.368,12.113,27.011,0.002,0.005,3.513,7.834,238.437,44.846,13.494,30.09,52.720688,EU,1
Canada,28858,288263,106342,20.7,28.2,46.6,4.5,72.6,NA,2018-09-29,2018,1855770.8516,50077.786708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.95419667460483,NA,NA,NA,NA,NA,NA,3.655,11.079,7.709,23.366,12.027,36.456,0.668,2.024,3.869,11.727,564.824,32.991,4.615,13.988,30.81559,Americas,0
Chile,13166,62222,23812,36,52.6,10.9,0.5,77.3,NA,2018-09-29,2018,463832.0408,24710.818532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.73810859828756,NA,NA,NA,NA,NA,NA,4.664,22.137,11.226,53.276,1.413,6.704,0,0,1.083,5.14,62.779,21.071,1.457,6.914,7.007974,Americas,0
Colombia,33751,18239,4937,71.1,26.8,2,0.1,80.7,52,2018-09-29,2018,743037.0243,15355.003301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.2556872641189,5.29235818733765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Americas,0
Czech Republic,8529,61489,17018,30.7,60.6,8.2,0.5,75.8,24,2018-09-29,2018,436207.9997,41049.345804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.3621316278067,10.6126431280144,NA,18.724,NA,NA,NA,3.466,9.824,11.307,32.051,4.313,12.226,0,0,0.462,1.31,86.514,35.279,15.57,44.135,43.758608,EU,0
Denmark,4450,286712,60999,35.6,20.4,38.5,5.5,83.6,27.8,2018-09-29,2018,331502.5972,57214.807946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.8444465816703,17.3266228994175,NA,27.991,NA,NA,NA,2.905,6.475,14.657,32.672,24.422,54.439,0.281,0.627,1.836,4.092,157.966,44.861,0.047,0.105,35.369717,EU,0
Estonia,1034,57806,18895,31.5,58.6,9.4,0.5,71.1,30.6,2018-09-29,2018,48064.5111,36437.352038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.4300072507704,11.2487187860248,NA,18.4,NA,NA,NA,2.018,6.072,13.722,41.28,5.5,16.547,0,0,0.226,0.68,10.065,33.241,11.608,34.922,36.169987,EU,0
Finland,4327,161062,45606,21,47,30.1,1.9,76.7,25.900000000000002,2018-09-29,2018,272368.8743,49376.17822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.4192886410543,15.1378806625662,NA,28.707,NA,NA,NA,2.558,5.995,14.35,33.635,12.309,28.851,0,0,1.443,3.382,116.865,42.665,11.911,27.918,42.448694,EU,0
France,49478,280580,106827,13.9,34.5,47.2,4.3,68.7,NA,2018-09-29,2018,3120959.0756,46397.964403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.5210977905647,15.2393236127815,NA,31.196,NA,NA,NA,2.109,4.575,11.505,24.958,9.473,20.55,1.512,3.281,4.112,8.921,1280.104,46.095,16.088,34.902,47.000473,EU,0
Germany,67470,214893,35169,40.6,21.6,34.5,3.2,81.6,31.1,2018-09-29,2018,4514794.1285,54456.783931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.5539309346753,12.7915571542622,NA,25.144,NA,NA,NA,2.139,5.602,10.02,26.24,10.373,27.164,0,0,1.048,2.745,1526.007,38.187,14.391,37.686,49.527267,EU,0
Greece,9019,108127,40789,14,60.9,24.1,1,68.2,32.3,2018-09-29,2018,325789.6415,30354.314639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.6575317983686,8.64040296845786,NA,23.451,NA,NA,NA,NA,NA,15.115,39.02,NA,NA,0,0,3.065,7.912,84.446,38.738,11.641,30.052,40.955021,EU,0
Hungary,7826,37594,15026,38.4,55.5,6,0.2,66.2,28.7,2018-09-29,2018,308700.1884,31578.759892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.4628764535396,10.1432674965347,NA,19.447,NA,NA,NA,1.166,3.189,16.101,44.048,5.175,14.159,0.761,2.083,0.99,2.709,56.912,36.553,12.118,33.151,45.041322,EU,0
Iceland,248,555726,203847,17,17,55.5,10.5,73.1,NA,2018-09-29,2018,20366.8689,57745.588159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.76224326816561,15.8499801432589,NA,16.012,NA,NA,NA,2.538,6.918,11.952,32.574,14.512,39.551,0.304,0.828,2.013,5.487,9.499,36.691,3.5,9.539,33.368587,NA,0
